职位名称,城市,min_salary,max_salary,avg_salary,经验要求,学历要求,技能标签
大数据分析,青岛,8.0,15.0,11.5,1年及以上,大专,
python开发,南京,10.0,12.0,11.0,无需经验,大专,
java开发工程师,北京,12.0,18.0,15.0,1年及以上,大专,
Java开发工程师,深圳,8.0,12.0,10.0,无需经验,大专,
软件工程师,杭州·钱塘区,8.0,16.0,12.0,在校生/应届生,本科,
python开发,重庆,10.0,12.0,11.0,无需经验,大专,
数据库管理员（电子商务）,广州·天河区,8.0,12.0,10.0,1年及以上,大专,
Java开发工程师,广州,8.0,12.0,10.0,无需经验,大专,
高薪大数据T数字工程师,南宁·青秀区,8.0,10.0,9.0,无需经验,大专,
python开发,武汉,10.0,12.0,11.0,无需经验,大专,
Java开发工程师,南京·江宁区,9.0,15.0,12.0,1年及以上,本科,
java开发工程师,天津,7.0,10.0,8.5,1-3年,本科,
软件工程师（可带新人）,南昌·新建区,7.0,10.0,8.5,无需经验,大专,
数据处理工程师,泉州,8.0,13.0,10.5,1年及以上,本科,
Java开发工程师,广州·天河区,6.0,12.0,9.0,1年及以上,大专,
JAVA开发工程师,广州,9.0,14.0,11.5,1-3年,本科,
java开发工程师,上海·宝山区,8.0,15.0,11.5,无需经验,大专,
python工程师,重庆,7.0,10.0,8.5,1年及以上,本科,
数据挖掘工程员助理,成都·锦江区,9.0,12.0,10.5,无需经验,大专,
JAVA开发工程师,北京,8.0,15.0,11.5,1-3年,本科,
Python自动化工程师,上海·虹口区,6.0,12.0,9.0,1年及以上,本科,
web开发,武汉,8.3,10.0,9.15,1年,本科,
Java程序员,东莞·莞城区,70.0,8.0,39.0,1年及以上,本科,
python开发,贵阳,10.0,12.0,11.0,无需经验,大专,
Java开发工程师,苏州·吴中区,12.0,15.0,13.5,无需经验,本科,
java开发工程师,广州·天河区,12.0,20.0,16.0,1-3年,本科,
java开发工程师,长沙,7.0,10.0,8.5,1-3年,本科,
python后端开发,苏州·相城区,9.0,12.0,10.5,无需经验,大专,
Python数据工程师,青岛·高新区,6.0,10.0,8.0,1年及以上,本科,
Java/Python初级开发工程师,广州·天河区,50.0,7.0,28.5,无需经验,大专,
JAVA初级工程师,柳州·城中区,60.0,8.0,34.0,无需经验,大专,
AI软件应用开发助理（初级岗）,上海,80.0,9.0,44.5,无需经验,本科,
java开发工程师,青岛·高新区,5.0,10.0,7.5,1年及以上,本科,
人工智能工程师、助理，实习,成都·高新区,40.0,7.0,23.5,无需经验,大专,
Java开发工程师,成都,8.0,12.0,10.0,无需经验,大专,
Java开发,合肥·高新区,10.0,15.0,12.5,无需经验,本科,
Java开发工程师,重庆·九龙坡区,12.0,15.0,13.5,无需经验,本科,
python开发,深圳,10.0,12.0,11.0,无需经验,大专,
助理研发工程师（数据与信息领域）,上海·闵行区,8.0,13.0,10.5,无需经验,本科,
数据加工实习生,郑州·金水区,60.0,8.0,34.0,无需经验,,
Python实习生,郑州·中原区,40.0,7.0,23.5,无需经验,,
java开发工程师,济南,12.0,18.0,15.0,无需经验,大专,
java开发工程师,西安·未央区,6.0,12.0,9.0,无需经验,大专,
php开发,北京·海淀区,9.0,12.0,10.5,无需经验,大专,
智能算法实施专员,上海·长宁区,10.0,12.0,11.0,1年及以上,本科,
python开发,北京,10.0,12.0,11.0,无需经验,大专,
数据治理工程师-爬虫方向,贵阳,10.0,12.0,11.0,1-3年,本科,
AI模型应用工程师助理（初级岗）,上海,80.0,9.0,44.5,无需经验,本科,
JAVA开发工程师,北京,8.0,12.0,10.0,无需经验,本科,
python开发,济南,10.0,12.0,11.0,无需经验,大专,
Java开发工程师,重庆,8.0,12.0,10.0,无需经验,大专,
python开发,上海·浦东新区,10.0,15.0,12.5,1年及以上,本科,
量化研究员实习生,上海·浦东新区,150.0,150.0,150.0,在校生/应届生,本科,
java开发工程师,重庆,12.0,18.0,15.0,无需经验,大专,
Java开发工程师,上海,8.0,12.0,10.0,无需经验,大专,
python开发工程师（双休+公积金全额+13薪）,上海,9.0,15.0,12.0,1年及以上,本科,
java开发实习生,大连·高新园区,40.0,7.0,23.5,无需经验,大专,
java开发工程师,天津,12.0,18.0,15.0,无需经验,大专,
java开发工程师,厦门,7.0,10.0,8.5,1-3年,本科,
Java开发工程师,苏州,8.0,12.0,10.0,无需经验,大专,
Java工程师,广州·天河区,7.0,13.0,10.0,无需经验,本科,
java开发工程师,北京,12.0,18.0,15.0,无需经验,大专,
数据分析师（双休加补贴）,北京·海淀区,8.0,12.0,10.0,无需经验,大专,
数据处理技术员,深圳,8.0,14.0,11.0,无需经验,大专,
Java开发,福州·鼓楼区,8.0,16.0,12.0,1年及以上,本科,
java开发工程师,苏州,12.0,18.0,15.0,无需经验,大专,
java开发工程师,深圳·南山区,10.0,15.0,12.5,1-5年,大专,
数据处理实习生,贵阳·观山湖区,7.0,13.0,10.0,无需经验,大专,
Java工程师,上海·嘉定区,7.0,12.0,9.5,无需经验,本科,
Java开发工程师,合肥,8.0,12.0,10.0,无需经验,大专,
java开发工程师,杭州·拱墅区,20.8,37.5,29.15,1年及以上,本科,
数据处理技术员,北京,8.0,14.0,11.0,无需经验,大专,
python爬虫助理工程师,合肥,40.0,6.0,23.0,无需经验,大专,
